,Manhattan,Staten Island,Brooklyn,Queens,Bronx,EWR
89,30378.71984574722,39222.11419108761,13613.987428789764,38725.83370616817,4089.2086553852528,13616.166709020385
90,31099.94502121256,39680.16094265857,13490.423503363882,39240.44082091697,3945.8300050770163,13492.42441070571
91,31205.38928549021,39567.86145283033,13205.410743444641,39179.672525739676,3811.218972013973,13207.224751727057
92,30453.71198725977,38644.88168222341,12784.162914816918,38304.48730115666,3651.6454343466758,12785.820975961436
93,28715.86467852719,36649.25210805154,12230.365258068852,36354.90651290568,3444.282665634129,12231.873397345747
94,25927.99666412441,33324.62501874259,11458.447960912563,33073.65431400588,3183.8092942946128,11459.727462533214
95,21987.09642595993,28420.947329933017,10249.795854721884,28212.75076094486,2835.0795312165224,10250.66756393503
96,16847.795330470944,21897.94140263942,8381.948349284796,21741.04299438739,2325.777453729636,8382.200336808524
97,10884.631401227349,14360.288997530986,5922.854616614021,14270.337658120947,1638.4364880597077,5922.384776337125
98,5206.804137683497,7355.256907723906,3450.0859036033034,7335.854769863992,931.4844774107194,3449.0382906067325
99,1474.7596214494524,3039.128202468483,1911.6665981981992,3056.748905260938,539.7399436508261,1910.4491754620815
100,1106.6298774725346,3135.4808025526504,2100.7996880609016,3113.6248227694896,784.6470621411738,2099.9307038610173
101,4336.196535936895,7781.109352900225,4078.729361854118,7629.256044261274,1709.25909652748,4078.5825881277106
102,9856.559117406163,15153.386318012283,7008.183774678583,14817.410187398233,2964.256015111924,7008.794538476424
103,15434.251296529328,22320.281304727614,9591.87713392845,21818.058891645742,3980.468766697729,9592.947318042372
104,19144.467666256845,26843.74147872362,10841.455897493943,26255.941914653165,4329.3508587074575,10842.562452566362
105,20376.39050940008,28052.43913843896,10629.464630958593,27471.91453403313,4000.952280465729,10630.332044149656
106,19931.21876743847,27127.368796278897,9642.730293293494,26603.55309852687,3381.9748793270796,9643.385714609067
107,19242.003065638924,26043.003592644323,8822.021430484616,25561.535528006694,2957.1169419717,8822.74261433192
108,19381.002738897896,26228.778277095822,8743.95873462081,25737.69101041954,2976.3097755454583,8745.07356022687
109,20569.85129632331,27899.235460313055,9379.601518870115,27356.652827533,3339.257580147828,9381.287754430043
110,22392.10105544987,30347.453495540787,10307.989451430054,29752.59793108017,3749.7505515453686,10310.196208384594
111,24330.422801932044,32726.424791699777,11108.87912667308,32114.687927279425,3971.7415975468502,11111.387024047574
112,26106.14025896273,34602.29963240732,11598.977118845081,34016.523711175265,3968.505279851828,11601.52443509961
