,borough,RMSE,MAPE,MASE,MAE
Naive (W-1),Manhattan,3077.809491526243,6.735278037107291,1.0,1747.494623655914
Ridge Regression,Manhattan,2331.4625149010185,7.605577017372987,0.8769191660823401,1577.7039566836916
Decision Tree,Manhattan,2589.4231282771807,7.300342159712378,0.9873320363766482,1728.7442128831779
Random Forest,Manhattan,2437.9806816324763,6.819283989552669,0.9107177815781101,1615.4366996320646
XGBoost,Manhattan,2073.985336000619,5.249095295008031,0.6895425191442988,1278.4119331605973
Neural Network,Manhattan,2546.8508769705554,8.640415965533368,0.9588033156120671,1772.2227594152027
Prophet,Manhattan,2474.315164194665,7.047561455864751,0.8804321592047738,1603.2077901372904
Prophet + GARCH,Manhattan,2448.783776870987,7.027946501304193,0.828788529416786,1557.2473937686875
