,borough,RMSE,MAPE,MASE
Naive (W-1),Staten Island,3416.5183885343786,6.175399571978763,1.0
Ridge Regression,Staten Island,2612.6858933723247,6.580066163445743,0.8593933617339624
Decision Tree,Staten Island,2755.742257228955,6.666095367415643,0.95888278701831
Random Forest,Staten Island,2699.706476177205,6.125760557365467,0.8997925267078682
XGBoost,Staten Island,2319.9219653226787,4.796583001503473,0.6862637567982863
Neural Network,Staten Island,3028.475673549191,8.211877718990248,1.045810259726069
