,borough,RMSE,MAPE,MASE,MAE
Naive (W-1),Bronx,380.2239330280405,6.848641711509088,1.0,231.43010752688173
Ridge Regression,Bronx,293.7810640383073,5.996176108831187,0.8229757660240111,189.71010119827866
Decision Tree,Bronx,308.0792262409922,6.161976088832474,0.8279482410118802,197.84585665690275
Random Forest,Bronx,289.14850819536406,5.656366056818818,0.7522002558102937,181.73279782182456
XGBoost,Bronx,256.5060739607048,4.751688226079764,0.6556200731255735,156.02903132284843
Neural Network,Bronx,293.11833015664075,5.730405545881964,0.7495282671036553,178.95487434164485
Prophet,Bronx,290.958105939329,5.845549280586424,0.7302597908600958,179.85552902218095
Prophet + GARCH,Bronx,288.29337703546827,5.830178689494119,0.7293334266623304,180.08632380866592
