,borough,RMSE,MAPE,MASE,MAE
Naive (W-1),Queens,3391.432993984721,6.21040049740114,1.0,1982.258064516129
Ridge Regression,Queens,2589.1675861892295,6.604735559678404,0.8581330381388448,1761.551166178873
Decision Tree,Queens,2789.8252989310904,6.564773622379628,0.959508435028627,1900.406314106944
Random Forest,Queens,2659.582415480215,6.173091737461779,0.9084436530979694,1805.8078284721264
XGBoost,Queens,2313.5642057562513,4.918096060692837,0.6926347741358153,1461.6764080088626
Neural Network,Queens,2568.9113254146982,6.844427085416817,0.811469098772347,1741.871709736957
Prophet,Queens,2700.488069886106,6.197706747341824,0.8362764099912088,1760.8448402135932
Prophet + GARCH,Queens,2671.69412224115,6.104708473908835,0.7745324217286736,1702.8907551860395
