,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,daily,daily_lower,daily_upper,hourly,hourly_lower,hourly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
186,2024-08-08 18:00:00,3456.634324079026,3486.5706422858448,5325.030502374983,3456.634324079026,3456.634324079026,0.2834007350006843,0.2834007350006843,0.2834007350006843,0.0021677660368439444,0.0021677660368439444,0.0021677660368439444,0.2814284334109155,0.2814284334109155,0.2814284334109155,0.021410992006122023,0.021410992006122023,0.021410992006122023,-0.02555105963273477,-0.02555105963273477,-0.02555105963273477,0.0,0.0,0.0,4429.429506778985
187,2024-08-08 19:00:00,3456.6614165468377,3469.588269729592,5297.472929763862,3456.6614165468377,3456.6614165468377,0.2576619364847214,0.2576619364847214,0.2576619364847214,0.002487972725862364,0.002487972725862364,0.002487972725862364,0.260711299232282,0.260711299232282,0.260711299232282,0.02628906116499853,0.02628906116499853,0.02628906116499853,-0.02572767114330031,-0.02572767114330031,-0.02572767114330031,0.0,0.0,0.0,4357.852105460864
188,2024-08-08 20:00:00,3456.68850901465,3320.3128817351826,5176.778104710896,3456.68850901465,3456.68850901465,0.2199017447645022,0.2199017447645022,0.2199017447645022,0.00280125133802016,0.00280125133802016,0.00280125133802016,0.22813705124601558,0.22813705124601558,0.22813705124601558,0.03133859689016148,0.03133859689016148,0.03133859689016148,-0.025904541746668255,-0.025904541746668255,-0.025904541746668255,0.0,0.0,0.0,4245.287232537239
189,2024-08-08 21:00:00,3456.7156014824623,3141.018018834192,4939.419828785819,3456.7156014824623,3456.7156014824623,0.16066004693049912,0.16066004693049912,0.16066004693049912,0.0031049777205752935,0.0031049777205752935,0.0031049777205752935,0.17422842780469436,0.17422842780469436,0.17422842780469436,0.03654506798473997,0.03654506798473997,0.03654506798473997,-0.02608166483112005,-0.02608166483112005,-0.02608166483112005,0.0,0.0,0.0,4058.9737260967104
190,2024-08-08 22:00:00,3456.7426939502743,2891.221748669541,4756.868373816885,3456.7426939502743,3456.7426939502743,0.07828426828889531,0.07828426828889531,0.07828426828889531,0.00339655228520181,0.00339655228520181,0.00339655228520181,0.09731399401126734,0.09731399401126734,0.09731399401126734,0.04189220721618282,0.04189220721618282,0.04189220721618282,-0.026259033779012605,-0.026259033779012605,-0.026259033779012605,0.0,0.0,0.0,3793.132131767843
191,2024-08-08 23:00:00,3456.7697864180864,2510.9355440304876,4315.959150259807,3456.7697864180864,3456.7697864180864,-0.033681790562092515,-0.033681790562092515,-0.033681790562092515,0.00367342078591735,0.00367342078591735,0.00367342078591735,-0.009082911739314484,-0.009082911739314484,-0.009082911739314484,0.04736210000387907,0.04736210000387907,0.04736210000387907,-0.02643664196701837,-0.02643664196701837,-0.02643664196701837,0.0,0.0,0.0,3425.3722515449217
192,2024-08-09 00:00:00,3456.7968788858984,1956.1121867048944,3815.0370600262045,3456.7968788858984,3456.7968788858984,-0.19124186499307594,-0.19124186499307594,-0.19124186499307594,0.003933094999997007,0.003933094999997007,0.003933094999997007,-0.16098796448181346,-0.16098796448181346,-0.16098796448181346,0.052935288277859066,0.052935288277859066,0.052935288277859066,-0.026614482766593565,-0.026614482766593565,-0.026614482766593565,0.0,0.0,0.0,2900.2941857269716
193,2024-08-09 01:00:00,3456.8239713537105,1292.4556981593446,3116.204000188354,3456.8239713537105,3456.8239713537105,-0.3978772915861943,-0.3978772915861943,-0.3978772915861943,0.004173173150999802,0.004173173150999802,0.004173173150999802,-0.3619057793181001,-0.3619057793181001,-0.3619057793181001,0.05859088866120802,0.05859088866120802,0.05859088866120802,-0.026792549544113656,-0.026792549544113656,-0.026792549544113656,0.0,0.0,0.0,2205.7793980354563
194,2024-08-09 02:00:00,3456.851063821522,511.0431279702995,2369.4564954523676,3456.851063821522,3456.851063821522,-0.611548700541314,-0.611548700541314,-0.611548700541314,0.004391359914596345,0.004391359914596345,0.004391359914596345,-0.5698214522903158,-0.5698214522903158,-0.5698214522903158,0.06430672399764993,0.06430672399764993,0.06430672399764993,-0.02697083566124794,-0.02697083566124794,-0.02697083566124794,0.0,0.0,0.0,1487.0631702834194
195,2024-08-09 03:00:00,3456.878156289335,147.21933926600556,1982.144439987382,3456.878156289335,3456.878156289335,-0.7412390042609741,-0.7412390042609741,-0.7412390042609741,0.004585485849003961,0.004585485849003961,0.004585485849003961,-0.6937433857903479,-0.6937433857903479,-0.6937433857903479,0.07005946709693633,0.07005946709693633,0.07005946709693633,-0.027149334475314098,-0.027149334475314098,-0.027149334475314098,0.0,0.0,0.0,1058.6917998804763
196,2024-08-09 04:00:00,3456.9052487571466,324.1049944028885,2191.6634411140085,3456.9052487571466,3456.9052487571466,-0.6953618797622932,-0.6953618797622932,-0.6953618797622932,0.004753526096026749,0.004753526096026749,0.004753526096026749,-0.6421115975551988,-0.6421115975551988,-0.6421115975551988,0.07582479545062303,0.07582479545062303,0.07582479545062303,-0.027328039339555205,-0.027328039339555205,-0.027328039339555205,0.0,0.0,0.0,1237.1862968807434
197,2024-08-09 05:00:00,3456.932341224959,1204.6352725284783,2974.3343555059396,3456.932341224959,3456.932341224959,-0.45452446097934934,-0.45452446097934934,-0.45452446097934934,0.00489361820275838,0.00489361820275838,0.00489361820275838,-0.39556023081604996,-0.39556023081604996,-0.39556023081604996,0.08157755556393394,0.08157755556393394,0.08157755556393394,-0.027506943603392942,-0.027506943603392942,-0.027506943603392942,0.0,0.0,0.0,2089.507386414546
198,2024-08-09 06:00:00,3456.9594336927707,2471.3978269762865,4198.7492269812,3456.9594336927707,3456.9594336927707,-0.10739886499489801,-0.10739886499489801,-0.10739886499489801,0.005004078919674427,0.005004078919674427,0.005004078919674427,-0.04278889123355121,-0.04278889123355121,-0.04278889123355121,0.08729193545451987,0.08729193545451987,0.08729193545451987,-0.02768604061284747,-0.02768604061284747,-0.02768604061284747,0.0,0.0,0.0,3309.039972485692
199,2024-08-09 07:00:00,3456.986526160583,3472.8550411482847,5257.875103342431,3456.986526160583,3456.986526160583,0.19100700559382244,0.19100700559382244,0.19100700559382244,0.0050834198381222075,0.0050834198381222075,0.0050834198381222075,0.26116674549851215,0.26116674549851215,0.26116674549851215,0.09294164377727139,0.09294164377727139,0.09294164377727139,-0.02786532371070387,-0.02786532371070387,-0.02786532371070387,0.0,0.0,0.0,4359.836446430149
