,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,hourly,hourly_lower,hourly_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
10,2024-08-01 10:00:00,32597.39941497186,26128.200451938035,43839.88535442142,32597.39941497186,32597.39941497186,2249.604657666061,2249.604657666061,2249.604657666061,2582.3965504676,2582.3965504676,2582.3965504676,50.60831654900978,50.60831654900978,50.60831654900978,378.6374068496579,378.6374068496579,378.6374068496579,-762.0376162002065,-762.0376162002065,-762.0376162002065,0.0,0.0,0.0,34847.00407263792
11,2024-08-01 11:00:00,32597.521010953573,24472.942884307897,43407.321315472866,32597.521010953573,32597.521010953573,1636.9752113168042,1636.9752113168042,1636.9752113168042,1918.0624147040337,1918.0624147040337,1918.0624147040337,38.997755929672834,38.997755929672834,38.997755929672834,447.7888715268326,447.7888715268326,447.7888715268326,-767.8738308437352,-767.8738308437352,-767.8738308437352,0.0,0.0,0.0,34234.496222270376
12,2024-08-01 12:00:00,32597.642606935282,25905.795164361552,43843.34465447812,32597.642606935282,32597.642606935282,2123.6319340359523,2123.6319340359523,2123.6319340359523,2354.3767897649864,2354.3767897649864,2354.3767897649864,27.125564147935016,27.125564147935016,27.125564147935016,515.8652519222715,515.8652519222715,515.8652519222715,-773.7356717992409,-773.7356717992409,-773.7356717992409,0.0,0.0,0.0,34721.27454097124
13,2024-08-01 13:00:00,32597.764202916995,27987.2496894392,45837.60343309848,32597.764202916995,32597.764202916995,3774.9345210604656,3774.9345210604656,3774.9345210604656,3956.433544294635,3956.433544294635,3956.433544294635,15.088580960317925,15.088580960317925,15.088580960317925,583.0353133034465,583.0353133034465,583.0353133034465,-779.6229174979337,-779.6229174979337,-779.6229174979337,0.0,0.0,0.0,36372.69872397746
14,2024-08-01 14:00:00,32597.885798898704,29743.674750062106,46934.59611457611,32597.885798898704,32597.885798898704,5948.048951164056,5948.048951164056,5948.048951164056,6081.083914613072,6081.083914613072,6081.083914613072,2.9837472836146057,2.9837472836146057,2.9837472836146057,649.5166347899873,649.5166347899873,649.5166347899873,-785.5353455226184,-785.5353455226184,-785.5353455226184,0.0,0.0,0.0,38545.93475006276
15,2024-08-01 15:00:00,32598.007394880417,31560.682329944324,49788.32183316877,32598.007394880417,32598.007394880417,8035.784911337779,8035.784911337779,8035.784911337779,8120.777177788546,8120.777177788546,8120.777177788546,-9.092551672772021,-9.092551672772021,-9.092551672772021,715.573017841117,715.573017841117,715.573017841117,-791.4727326191156,-791.4727326191156,-791.4727326191156,0.0,0.0,0.0,40633.792306218194
16,2024-08-01 16:00:00,32598.12899086213,33726.25756812461,51384.28957587595,32598.12899086213,32598.12899086213,9820.929272869695,9820.929272869695,9820.929272869695,9857.898264842965,9857.898264842965,9857.898264842965,-21.045136129066346,-21.045136129066346,-21.045136129066346,781.5109988591828,781.5109988591828,781.5109988591828,-797.434854703386,-797.434854703386,-797.434854703386,0.0,0.0,0.0,42419.05826373182
17,2024-08-01 17:00:00,32598.250586843846,34245.64068964746,53172.74759196604,32598.250586843846,32598.250586843846,11281.389188725781,11281.389188725781,11281.389188725781,11269.915842974955,11269.915842974955,11269.915842974955,-32.78066984865216,-32.78066984865216,-32.78066984865216,847.675502476343,847.675502476343,847.675502476343,-803.4214868768634,-803.4214868768634,-803.4214868768634,0.0,0.0,0.0,43879.63977556962
18,2024-08-01 18:00:00,32598.37218282556,36091.92620278919,53115.75942498365,32598.37218282556,32598.37218282556,12252.709557210545,12252.709557210545,12252.709557210545,12191.905558218956,12191.905558218956,12191.905558218956,-44.20828223265247,-44.20828223265247,-44.20828223265247,914.4446846588111,914.4446846588111,914.4446846588111,-809.432403434571,-809.432403434571,-809.432403434571,0.0,0.0,0.0,44851.081740036105
19,2024-08-01 19:00:00,32598.493778807268,35681.08332784152,54515.521671642426,32598.493778807268,32598.493778807268,12388.29020693001,12388.29020693001,12388.29020693001,12276.773727933582,12276.773727933582,12276.773727933582,-55.240170117824434,-55.240170117824434,-55.240170117824434,982.2240269862835,982.2240269862835,982.2240269862835,-815.4673778720282,-815.4673778720282,-815.4673778720282,0.0,0.0,0.0,44986.783985737275
20,2024-08-01 20:00:00,32598.61537478898,34585.820257,53020.92657467894,32598.61537478898,32598.61537478898,11415.361470926593,11415.361470926593,11415.361470926593,11251.24007397391,11251.24007397391,11251.24007397391,-65.79217518502496,-65.79217518502496,-65.79217518502496,1051.4397550393674,1051.4397550393674,1051.4397550393674,-821.526182901658,-821.526182901658,-821.526182901658,0.0,0.0,0.0,44013.97684571557
21,2024-08-01 21:00:00,32598.73697077069,33188.42532972357,51543.63014986324,32598.73697077069,32598.73697077069,9313.610373986468,9313.610373986468,9313.610373986468,9094.47163322242,9094.47163322242,9094.47163322242,-75.78433303591856,-75.78433303591856,-75.78433303591856,1122.5316642591852,1122.5316642591852,1122.5316642591852,-827.608590459217,-827.608590459217,-827.608590459217,0.0,0.0,0.0,41912.34734475716
22,2024-08-01 22:00:00,32598.858566752402,29132.767048522262,47874.805081625025,32598.858566752402,32598.858566752402,6166.71917287978,6166.71917287978,6166.71917287978,5889.629488730665,5889.629488730665,5889.629488730665,-85.14139021932132,-85.14139021932132,-85.14139021932132,1195.94544608571,1195.94544608571,1195.94544608571,-833.7143717172736,-833.7143717172736,-833.7143717172736,0.0,0.0,0.0,38765.57773963218
23,2024-08-01 23:00:00,32598.980162734115,26205.928365575386,43332.16283047486,32598.980162734115,32598.980162734115,1898.1136579437714,1898.1136579437714,1898.1136579437714,1559.6256250104504,1559.6256250104504,1559.6256250104504,-93.79328574529346,-93.79328574529346,-93.79328574529346,1272.1246157695796,1272.1246157695796,1272.1246157695796,-839.843297090965,-839.843297090965,-839.843297090965,0.0,0.0,0.0,34497.09382067789
24,2024-08-02 00:00:00,32599.101758715828,19733.695903677366,37890.58649732386,32599.101758715828,32599.101758715828,-3658.3647939897896,-3658.3647939897896,-3658.3647939897896,-4062.1962139306916,-4062.1962139306916,-4062.1962139306916,-101.67559385607673,-101.67559385607673,-101.67559385607673,1351.502150052577,1351.502150052577,1351.502150052577,-845.9951362555977,-845.9951362555977,-845.9951362555977,0.0,0.0,0.0,28940.73696472604
