,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,hourly,hourly_lower,hourly_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
10,2024-08-01 10:00:00,10909.861197265705,8573.627910551804,14109.096603889537,10909.861197265705,10909.861197265705,341.9702764998754,341.9702764998754,341.9702764998754,776.0231690961449,776.0231690961449,776.0231690961449,69.06694578112752,69.06694578112752,69.06694578112752,-281.994425493173,-281.994425493173,-281.994425493173,-221.12541288422432,-221.12541288422432,-221.12541288422432,0.0,0.0,0.0,11251.83147376558
11,2024-08-01 11:00:00,10909.934882173533,7723.069213548168,13793.414602672912,10909.934882173533,10909.934882173533,-182.9259862294984,-182.9259862294984,-182.9259862294984,227.80382028215345,227.80382028215345,227.80382028215345,65.08892497174145,65.08892497174145,65.08892497174145,-253.89815864427703,-253.89815864427703,-253.89815864427703,-221.92057283911603,-221.92057283911603,-221.92057283911603,0.0,0.0,0.0,10727.008895944035
12,2024-08-01 12:00:00,10910.008567081359,7898.71825864247,13481.114650853007,10910.008567081359,10910.008567081359,-110.89959010518743,-110.89959010518743,-110.89959010518743,275.86048346607606,275.86048346607606,275.86048346607606,60.88092187042599,60.88092187042599,60.88092187042599,-224.91787133590674,-224.91787133590674,-224.91787133590674,-222.72312410578263,-222.72312410578263,-222.72312410578263,0.0,0.0,0.0,10799.108976976171
13,2024-08-01 13:00:00,10910.082251989186,8591.995194701885,14367.383581040958,10910.082251989186,10910.082251989186,534.445428319464,534.445428319464,534.445428319464,896.4988503031852,896.4988503031852,896.4988503031852,56.477929858998834,56.477929858998834,56.477929858998834,-194.99831443967324,-194.99831443967324,-194.99831443967324,-223.533037403047,-223.533037403047,-223.533037403047,0.0,0.0,0.0,11444.52768030865
14,2024-08-01 14:00:00,10910.155936897014,9538.53997785306,15130.784930391548,10910.155936897014,10910.155936897014,1403.8438224489348,1403.8438224489348,1403.8438224489348,1740.3572768927484,1740.3572768927484,1740.3572768927484,51.915667314251145,51.915667314251145,51.915667314251145,-164.07883861251167,-164.07883861251167,-164.07883861251167,-224.35028314555294,-224.35028314555294,-224.35028314555294,0.0,0.0,0.0,12313.999759345948
15,2024-08-01 15:00:00,10910.22962180484,10081.36565955674,15942.324257029157,10910.22962180484,10910.22962180484,2160.7915233475364,2160.7915233475364,2160.7915233475364,2470.8299726124847,2470.8299726124847,2470.8299726124847,47.23032477645911,47.23032477645911,47.23032477645911,-132.09394259596726,-132.09394259596726,-132.09394259596726,-225.17483144544013,-225.17483144544013,-225.17483144544013,0.0,0.0,0.0,13071.021145152376
16,2024-08-01 16:00:00,10910.303306712669,10788.116151207307,16486.96398361584,10910.303306712669,10910.303306712669,2672.0776586218685,2672.0776586218685,2672.0776586218685,2954.5999926371705,2954.5999926371705,2954.5999926371705,42.4583111258584,42.4583111258584,42.4583111258584,-98.97399302768308,-98.97399302768308,-98.97399302768308,-226.00665211347692,-226.00665211347692,-226.00665211347692,0.0,0.0,0.0,13582.380965334538
17,2024-08-01 17:00:00,10910.376991620495,11074.710271791339,16579.914346567664,10910.376991620495,10910.376991620495,2961.9721430743957,2961.9721430743957,2961.9721430743957,3215.8279680969245,3215.8279680969245,3215.8279680969245,37.63600057805848,37.63600057805848,37.63600057805848,-64.64611093912997,-64.64611093912997,-64.64611093912997,-226.8457146614575,-226.8457146614575,-226.8457146614575,0.0,0.0,0.0,13872.34913469489
18,2024-08-01 18:00:00,10910.450676528322,11065.217213896072,17047.637248524006,10910.450676528322,10910.450676528322,3071.687280061768,3071.687280061768,3071.687280061768,3295.615003496721,3295.615003496721,3295.615003496721,32.799482300256415,32.799482300256415,32.799482300256415,-29.035217431883922,-29.035217431883922,-29.035217431883922,-227.69198830332576,-227.69198830332576,-227.69198830332576,0.0,0.0,0.0,13982.13795659009
19,2024-08-01 19:00:00,10910.52436143615,10853.52653755312,16747.512536689144,10910.52436143615,10910.52436143615,2998.0131862041544,2998.0131862041544,2998.0131862041544,3190.6395420714093,3190.6395420714093,3190.6395420714093,27.98431442569392,27.98431442569392,27.98431442569392,7.934771663187257,7.934771663187257,7.934771663187257,-228.5454419561359,-228.5454419561359,-228.5454419561359,0.0,0.0,0.0,13908.537547640304
