,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,daily,daily_lower,daily_upper,extra_regressors_multiplicative,extra_regressors_multiplicative_lower,extra_regressors_multiplicative_upper,hourly,hourly_lower,hourly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,rolling_avg_w1-w4_lags,rolling_avg_w1-w4_lags_lower,rolling_avg_w1-w4_lags_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
0,2024-08-01 00:00:00,3081.891707276247,1655.9621662920993,2866.6908533418127,3081.891707276247,3081.891707276247,-0.0360167999996905,-0.0360167999996905,-0.0360167999996905,-0.24465477409628775,-0.24465477409628775,-0.24465477409628775,0.006176042128325952,0.006176042128325952,0.006176042128325952,-0.2624222524632596,-0.2624222524632596,-0.2624222524632596,-0.24465477409628775,-0.24465477409628775,-0.24465477409628775,-0.004000102999995425,-0.004000102999995425,-0.004000102999995425,0.01607338250438807,0.01607338250438807,0.01607338250438807,0.0,0.0,0.0,2273.1347436049737
1,2024-08-01 01:00:00,3081.8933979960984,837.2077420358879,2056.442933047214,3081.8933979960984,3081.8933979960984,-0.06981771490248218,-0.06981771490248218,-0.06981771490248218,-0.47587759196517515,-0.47587759196517515,-0.47587759196517515,0.005850739987650822,0.005850739987650822,0.005850739987650822,-0.5276001473281109,-0.5276001473281109,-0.5276001473281109,-0.47587759196517515,-0.47587759196517515,-0.47587759196517515,-0.0037760219007941243,-0.0037760219007941243,-0.0037760219007941243,0.016020441452689774,0.016020441452689774,0.016020441452689774,0.0,0.0,0.0,1455.8859871638247
2,2024-08-01 02:00:00,3081.89508871595,409.51955106736517,1634.1835609944005,3081.89508871595,3081.89508871595,-0.10328246315924594,-0.10328246315924594,-0.10328246315924594,-0.5873363423837121,-0.5873363423837121,-0.5873363423837121,0.005487065464607036,0.005487065464607036,0.005487065464607036,-0.6726975661575902,-0.6726975661575902,-0.6726975661575902,-0.5873363423837121,-0.5873363423837121,-0.5873363423837121,-0.0035319921946335106,-0.0035319921946335106,-0.0035319921946335106,0.015966166115394295,0.015966166115394295,0.015966166115394295,0.0,0.0,0.0,1008.7117633836997
3,2024-08-01 03:00:00,3081.8967794358014,295.2390588172298,1467.3429617531212,3081.8967794358014,3081.8967794358014,-0.11976286896691267,-0.11976286896691267,-0.11976286896691267,-0.6146950337826267,-0.6146950337826267,-0.6146950337826267,0.005087788519157515,0.005087788519157515,0.005087788519157515,-0.7167257373443141,-0.7167257373443141,-0.7167257373443141,-0.6146950337826267,-0.6146950337826267,-0.6146950337826267,-0.0032661819835393463,-0.0032661819835393463,-0.0032661819835393463,0.015910558869607135,0.015910558869607135,0.015910558869607135,0.0,0.0,0.0,873.0220377756096
4,2024-08-01 04:00:00,3081.898470155653,591.0417414921067,1773.4737145481374,3081.898470155653,3081.898470155653,-0.10494154420687006,-0.10494154420687006,-0.10494154420687006,-0.5324095818455853,-0.5324095818455853,-0.5324095818455853,0.004655892329818074,0.004655892329818074,0.004655892329818074,-0.6198184885174982,-0.6198184885174982,-0.6198184885174982,-0.5324095818455853,-0.5324095818455853,-0.5324095818455853,-0.002976876946320415,-0.002976876946320415,-0.002976876946320415,0.01585362215145953,0.01585362215145953,0.01585362215145953,0.0,0.0,0.0,1171.680818619386
5,2024-08-01 05:00:00,3081.9001608755034,1194.2613826327392,2466.4364765726536,3081.9001608755034,3081.9001608755034,-0.05919432099540032,-0.05919432099540032,-0.05919432099540032,-0.35053011810688306,-0.35053011810688306,-0.35053011810688306,0.004194552038436175,0.004194552038436175,0.004194552038436175,-0.3923970282911661,-0.3923970282911661,-0.3923970282911661,-0.35053011810688306,-0.35053011810688306,-0.35053011810688306,-0.0026624996833008448,-0.0026624996833008448,-0.0026624996833008448,0.01579535845598197,0.01579535845598197,0.01579535845598197,0.0,0.0,0.0,1872.5716962578892
6,2024-08-01 06:00:00,3081.901851595355,2447.102155864874,3588.1436088314294,3081.901851595355,3081.901851595355,-0.0011783000010019778,-0.0011783000010019778,-0.0011783000010019778,-0.030810308672119056,-0.030810308672119056,-0.030810308672119056,0.0037071122819807784,0.0037071122819807784,0.0037071122819807784,-0.014867354364283884,-0.014867354364283884,-0.014867354364283884,-0.030810308672119056,-0.030810308672119056,-0.030810308672119056,-0.00232162831001869,-0.00232162831001869,-0.00232162831001869,0.01573577033687507,0.01573577033687507,0.01573577033687507,0.0,0.0,0.0,3036.082124651744
7,2024-08-01 07:00:00,3081.9035423152063,3912.6778550176914,5146.7983780934765,3081.9035423152063,3081.9035423152063,0.04234819048516758,0.04234819048516758,0.04234819048516758,0.3940869189722475,0.3940869189722475,0.3940869189722475,0.0031970636758552255,0.0031970636758552255,0.0031970636758552255,0.45335401942397535,0.45335401942397535,0.45335401942397535,0.3940869189722475,0.3940869189722475,0.3940869189722475,-0.0019530141158266765,-0.0019530141158266765,-0.0019530141158266765,0.01567486040653171,0.01567486040653171,0.01567486040653171,0.0,0.0,0.0,4479.0969007007925
8,2024-08-01 08:00:00,3081.905233035058,4596.843054161658,5785.674765397323,3081.905233035058,3081.905233035058,0.05393129965937651,0.05393129965937651,0.05393129965937651,0.608140762136714,0.608140762136714,0.608140762136714,0.0026680184198642496,0.0026680184198642496,0.0026680184198642496,0.6787971134432839,0.6787971134432839,0.6787971134432839,0.608140762136714,0.608140762136714,0.608140762136714,-0.0015555981084712104,-0.0015555981084712104,-0.0015555981084712104,0.015612631335800372,0.015612631335800372,0.015612631335800372,0.0,0.0,0.0,5173.893609125006
9,2024-08-01 09:00:00,3081.906923754909,3677.612262006828,4877.950089577602,3081.906923754909,3081.906923754909,0.03669742911198231,0.03669742911198231,0.03669742911198231,0.32890064915952766,0.32890064915952766,0.32890064915952766,0.002123685203656466,0.002123685203656466,0.002123685203656466,0.3821423230550906,0.3821423230550906,0.3821423230550906,0.32890064915952766,0.32890064915952766,0.32890064915952766,-0.0011285262739252624,-0.0011285262739252624,-0.0011285262739252624,0.015549085853849448,0.015549085853849448,0.015549085853849448,0.0,0.0,0.0,4259.633995038178
