,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,hourly,hourly_lower,hourly_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
204,2024-08-09 12:00:00,32140.578356313585,26146.56468181711,43868.33103535592,32140.578356313585,32140.578356313585,2997.1552527546596,2997.1552527546596,2997.1552527546596,2267.569367509303,2267.569367509303,2267.569367509303,141.35248689088172,141.35248689088172,141.35248689088172,2608.99899258889,2608.99899258889,2608.99899258889,-2020.7655942344154,-2020.7655942344154,-2020.7655942344154,0.0,0.0,0.0,35137.733609068244
205,2024-08-09 13:00:00,32140.698950587852,28074.970206864742,46150.2493978189,32140.698950587852,32140.698950587852,4698.559336539783,4698.559336539783,4698.559336539783,3829.8395761338243,3829.8395761338243,3829.8395761338243,147.59660251638823,147.59660251638823,147.59660251638823,2748.1487459636364,2748.1487459636364,2748.1487459636364,-2027.0255880740679,-2027.0255880740679,-2027.0255880740679,0.0,0.0,0.0,36839.25828712763
206,2024-08-09 14:00:00,32140.81954486211,30765.071851628865,48460.913411924856,32140.81954486211,32140.81954486211,6925.959572493416,6925.959572493416,6925.959572493416,5914.758699154261,5914.758699154261,5914.758699154261,153.2523141729279,153.2523141729279,153.2523141729279,2891.2138312824777,2891.2138312824777,2891.2138312824777,-2033.2652721162522,-2033.2652721162522,-2033.2652721162522,0.0,0.0,0.0,39066.77911735553
207,2024-08-09 15:00:00,32140.940139136375,32619.021569787354,50450.88757730842,32140.940139136375,32140.940139136375,9095.644765988118,9095.644765988118,9095.644765988118,7939.205507913243,7939.205507913243,7939.205507913243,158.28374663448795,158.28374663448795,158.28374663448795,3037.639968255422,3037.639968255422,3037.639968255422,-2039.4844568150352,-2039.4844568150352,-2039.4844568150352,0.0,0.0,0.0,41236.584905124495
208,2024-08-09 16:00:00,32141.060733410643,34321.79809638899,52358.180448463136,32141.060733410643,32141.060733410643,10994.984352181711,10994.984352181711,10994.984352181711,9691.226865769591,9691.226865769591,9691.226865769591,162.65951482703082,162.65951482703082,162.65951482703082,3186.7809252295983,3186.7809252295983,3186.7809252295983,-2045.6829536445084,-2045.6829536445084,-2045.6829536445084,0.0,0.0,0.0,43136.045085592355
209,2024-08-09 17:00:00,32141.181327684906,35614.25241642956,54255.38678881129,32141.181327684906,32141.181327684906,12590.511476957354,12590.511476957354,12590.511476957354,11138.117913618165,11138.117913618165,11138.117913618165,166.35293889811922,166.35293889811922,166.35293889811922,3337.9011995482374,3337.9011995482374,3337.9011995482374,-2051.8605751071664,-2051.8605751071664,-2051.8605751071664,0.0,0.0,0.0,44731.69280464226
210,2024-08-09 18:00:00,32141.30192195917,36514.95273471233,54772.749356688684,32141.30192195917,32141.30192195917,13703.4816733874,13703.4816733874,13703.4816733874,12101.976697657125,12101.976697657125,12101.976697657125,169.3422245966865,169.3422245966865,169.3422245966865,3490.179885875148,3490.179885875148,3490.179885875148,-2058.0171347415594,-2058.0171347415594,-2058.0171347415594,0.0,0.0,0.0,45844.78359534657
211,2024-08-09 19:00:00,32141.422516233433,36514.693168252496,54184.82426732184,32141.422516233433,32141.422516233433,13979.092390704516,13979.092390704516,13979.092390704516,12228.918517590342,12228.918517590342,12228.918517590342,171.61060774325912,171.61060774325912,171.61060774325912,3642.7157124963605,3642.7157124963605,3642.7157124963605,-2064.1524471254447,-2064.1524471254447,-2064.1524471254447,0.0,0.0,0.0,46120.51490693795
212,2024-08-09 20:00:00,32141.543110507697,35674.283625064505,53575.48529719702,32141.543110507697,32141.543110507697,13141.508147299586,13141.508147299586,13141.508147299586,11244.09480229564,11244.09480229564,11244.09480229564,173.14646186200562,173.14646186200562,173.14646186200562,3794.5332110250497,3794.5332110250497,3794.5332110250497,-2070.2663278831105,-2070.2663278831105,-2070.2663278831105,0.0,0.0,0.0,45283.05125780728
213,2024-08-09 21:00:00,32141.66370478196,34080.84361580788,53186.40274853846,32141.66370478196,32141.66370478196,11167.596645319545,11167.596645319545,11167.596645319545,9125.421900740317,9125.421900740317,9125.421900740317,173.94336828678084,173.94336828678084,173.94336828678084,3944.5899699858514,3944.5899699858514,3944.5899699858514,-2076.3585936934046,-2076.3585936934046,-2076.3585936934046,0.0,0.0,0.0,43309.260350101504
214,2024-08-09 22:00:00,32141.784299056228,31601.753430149867,48890.35180938136,32141.784299056228,32141.784299056228,8138.202688345927,8138.202688345927,8138.202688345927,5954.846693713876,5954.846693713876,5954.846693713876,174.00014836309765,174.00014836309765,174.00014836309765,4091.7849085605285,4091.7849085605285,4091.7849085605285,-2082.429062291576,-2082.429062291576,-2082.429062291576,0.0,0.0,0.0,40279.98698740215
215,2024-08-09 23:00:00,32141.904893330484,27291.348154414878,45340.25311299634,32141.904893330484,32141.904893330484,3978.3943420026817,3978.3943420026817,3978.3943420026817,1658.5835430519405,1658.5835430519405,1658.5835430519405,173.32085763521158,173.32085763521158,173.32085763521158,4234.967493792468,4234.967493792468,4234.967493792468,-2088.4775524769393,-2088.4775524769393,-2088.4775524769393,0.0,0.0,0.0,36120.299235333165
216,2024-08-10 00:00:00,32142.025487604755,21442.931583407157,39561.57701498187,32142.025487604755,32142.025487604755,-1470.9927849498094,-1470.9927849498094,-1470.9927849498094,-3921.3514543800047,-3921.3514543800047,-3921.3514543800047,171.91474218157157,171.91474218157157,171.91474218157157,4372.947811369205,4372.947811369205,4372.947811369205,-2094.5038841205815,-2094.5038841205815,-2094.5038841205815,0.0,0.0,0.0,30671.032702654946
217,2024-08-10 01:00:00,32142.146081879015,15399.19649784949,32867.66383136783,32142.146081879015,32142.146081879015,-7927.88183157335,-7927.88183157335,-7927.88183157335,-10501.677499493757,-10501.677499493757,-10501.677499493757,169.7961575658232,169.7961575658232,169.7961575658232,4504.507388522492,4504.507388522492,4504.507388522492,-2100.5078781679076,-2100.5078781679076,-2100.5078781679076,0.0,0.0,0.0,24214.264250305663
218,2024-08-10 02:00:00,32142.26667615328,8270.062400518282,27332.63452538543,32142.26667615328,32142.26667615328,-14153.056341716936,-14153.056341716936,-14153.056341716936,-16841.96209351562,-16841.96209351562,-16841.96209351562,166.98445111247102,166.98445111247102,166.98445111247102,4628.410657331246,4628.410657331246,4628.410657331246,-2106.4893566450364,-2106.4893566450364,-2106.4893566450364,0.0,0.0,0.0,17989.210334436342
219,2024-08-10 03:00:00,32142.38727042754,5479.664700716687,23593.521810670136,32142.38727042754,32142.38727042754,-18118.50644871959,-18118.50644871959,-18118.50644871959,-20912.979051666855,-20912.979051666855,-20912.979051666855,163.50380850838377,163.50380850838377,163.50380850838377,4743.4169371065445,4743.4169371065445,4743.4169371065445,-2112.4481426676607,-2112.4481426676607,-2112.4481426676607,0.0,0.0,0.0,14023.880821707953
220,2024-08-10 04:00:00,32142.507864701805,4704.58270609421,23235.35086768107,32142.507864701805,32142.507864701805,-18040.083387146395,-18040.083387146395,-18040.083387146395,-20929.37519931521,-20929.37519931521,-20929.37519931521,159.38306598795498,159.38306598795498,159.38306598795498,4848.292806622374,4848.292806622374,4848.292806622374,-2118.3840604415122,-2118.3840604415122,-2118.3840604415122,0.0,0.0,0.0,14102.42447755541
221,2024-08-10 05:00:00,32142.62845897607,9535.529942657953,28088.86702467475,32142.62845897607,32142.62845897607,-13632.181763274826,-13632.181763274826,-13632.181763274826,-16604.365048550964,-16604.365048550964,-16604.365048550964,154.65548958411756,154.65548958411756,154.65548958411756,4941.824730962,4941.824730962,4941.824730962,-2124.29693526998,-2124.29693526998,-2124.29693526998,0.0,0.0,0.0,18510.44669570124
222,2024-08-10 06:00:00,32142.749053250333,17355.031167807854,34178.37592774335,32142.749053250333,32142.749053250333,-6570.502392736459,-6570.502392736459,-6570.502392736459,-9612.506124893043,-9612.506124893043,-9612.506124893043,149.35852320261046,149.35852320261046,149.35852320261046,5022.831802516591,5022.831802516591,5022.831802516591,-2130.186593562618,-2130.186593562618,-2130.186593562618,0.0,0.0,0.0,25572.246660513872
223,2024-08-10 07:00:00,32142.8696475246,24074.79556575075,41764.38217626989,32142.8696475246,32142.8696475246,340.9940150755162,340.9940150755162,340.9940150755162,-2756.6650822453175,-2756.6650822453175,-2756.6650822453175,143.53350746833104,143.53350746833104,143.53350746833104,5090.1784526876045,5090.1784526876045,5090.1784526876045,-2136.052862835103,-2136.052862835103,-2136.052862835103,0.0,0.0,0.0,32483.863662600117
224,2024-08-10 08:00:00,32142.990241798863,28220.54935895304,45707.95399322309,32142.990241798863,32142.990241798863,4785.952407541137,4785.952407541137,4785.952407541137,1647.8356181983804,1647.8356181983804,1647.8356181983804,137.22537151659267,137.22537151659267,137.22537151659267,5142.786989543246,5142.786989543246,5142.786989543246,-2141.8955717170834,-2141.8955717170834,-2141.8955717170834,0.0,0.0,0.0,36928.94264934
225,2024-08-10 09:00:00,32143.110836073127,29492.012820957327,47487.26820206521,32143.110836073127,32143.110836073127,6175.080724003342,6175.080724003342,6175.080724003342,3012.6631570982054,3012.6631570982054,3012.6631570982054,130.48230007242307,130.48230007242307,130.48230007242307,5179.649816791987,5179.649816791987,5179.649816791987,-2147.7145499592725,-2147.7145499592725,-2147.7145499592725,0.0,0.0,0.0,38318.19156007647
